district,text,rating,source,lat,lon,sentiment_label,sentiment_score,sentiment_numeric
Железнодорожный,"ННК, АЗС № 8 — работает (24/7)",4,osm_active,48.47836553995246,135.13669572189158,POSITIVE,1.0,1.0
Железнодорожный,Есть Оскар (cinema),4,osm_positive,48.478640667810154,135.13925647438234,NEUTRAL,0.5,0.5
Железнодорожный,Орион — работает (Mo-Fr 10:00-18:00),4,osm_active,48.47793282421141,135.1405818452137,POSITIVE,1.0,1.0
Железнодорожный,Раз Два — работает (Mo-Su 08:00-23:00),4,osm_active,48.48413795307555,135.13849256054132,POSITIVE,1.0,1.0
Железнодорожный,Раз Два — работает (Mo-Su 08:00-23:00),4,osm_active,48.48209419700728,135.13823475938634,POSITIVE,1.0,1.0
Железнодорожный,"АНО ""Талантливые Дети"" — работает (Mo-Fr 10:00-18:00)",4,osm_active,48.47484498122593,135.14072785283324,POSITIVE,1.0,1.0
Железнодорожный,Центр социальной адаптации «Независимость» — работает (24/7),4,osm_active,48.47996058731115,135.13722117777942,POSITIVE,1.0,1.0
Железнодорожный,Юнилаб — работает (Mo-Fr 07:30-19:00;Sa 13:30-14:00;Su 08:00-12:00),4,osm_active,48.47707088279628,135.13933931621403,POSITIVE,1.0,1.0
Железнодорожный,Винлаб — работает (Mo-Su 09:00-22:00),4,osm_active,48.4796058704444,135.1424114423436,POSITIVE,1.0,1.0
Железнодорожный,Винлаб — работает (Mo-Su 10:00-22:00),4,osm_active,48.47878311127032,135.13526572401062,POSITIVE,1.0,1.0
Железнодорожный,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.47815706720824,135.13774929692923,POSITIVE,1.0,1.0
Железнодорожный,Социальная аптека — работает (Mo-Su 08:00-22:00),4,osm_active,48.47743675866771,135.14495346537024,POSITIVE,1.0,1.0
Железнодорожный,Восток-Ас — работает (Mo-Fr 09:00-20:00; Sa-Su 09:00-18:00),4,osm_active,48.47945951184212,135.13858517237682,POSITIVE,1.0,1.0
Железнодорожный,Винлаб — работает (Mo-Su 09:00-22:00),4,osm_active,48.48340663292473,135.13668504805153,POSITIVE,1.0,1.0
Железнодорожный,СДЭК — работает (Mo-Fr 10:00-20:00; Sa-Su 10:00-18:00),4,osm_active,48.48409657900135,135.1408234135152,POSITIVE,1.0,1.0
Железнодорожный,Восток — работает (Mo-Fr 09:00-20:00; Sa-Su 09:00-18:00),4,osm_active,48.480247254581975,135.1344840525361,POSITIVE,1.0,1.0
Железнодорожный,Восток — работает (Mo-Fr 09:00-20:00; Sa-Su 09:00-18:00),4,osm_active,48.476116079444424,135.1386750016769,POSITIVE,1.0,1.0
Железнодорожный,Xb store — работает (Mo-Su 09:00-22:50),4,osm_active,48.48029553239646,135.1381891828247,POSITIVE,1.0,1.0
Железнодорожный,Восток — работает (Mo-Fr 09:00-20:00; Sa 09:00-18:00),4,osm_active,48.48053610166066,135.13650711897267,POSITIVE,1.0,1.0
Железнодорожный,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.47775653200718,135.1418651424446,POSITIVE,1.0,1.0
Железнодорожный,"ННК, АЗС №59 — работает (24/7)",4,osm_active,48.474128314178415,135.1372473809319,POSITIVE,1.0,1.0
Железнодорожный,Мало магазинов (4),2,infra,48.48127618579312,135.1419495529138,NEGATIVE,0.0,0.0
Железнодорожный,Отличный транспорт (17),5,infra,48.476512216075406,135.13806266408136,NEUTRAL,0.5,0.5
Железнодорожный,Есть парк,4,infra,48.4777082042604,135.1389895043885,POSITIVE,1.0,1.0
Железнодорожный,Нет поликлиники,2,infra,48.47688784039439,135.13891265201624,NEUTRAL,0.5,0.5
Индустриальный,"ННК, АЗС №65 — работает (24/7)",4,osm_active,48.400142788456584,135.10060631940746,POSITIVE,1.0,1.0
Индустриальный,Раз Два — работает (24/7),4,osm_active,48.40200115458272,135.10049631037216,POSITIVE,1.0,1.0
Индустриальный,Есть Атмосфера (cinema),4,osm_positive,48.40821234401902,135.10229233203373,NEUTRAL,0.5,0.5
Индустриальный,Самбери — работает (08:00-23:00),4,osm_active,48.39712488258938,135.10662099061446,POSITIVE,1.0,1.0
Индустриальный,Маргарита — работает (08:00-23:00),4,osm_active,48.40021182477549,135.10365384137538,POSITIVE,1.0,1.0
Индустриальный,Мойдодыр — работает (09:00-20:00),4,osm_active,48.401427878118994,135.10662657117393,POSITIVE,1.0,1.0
Индустриальный,Звенящий кедр — работает (07:00-23:00),4,osm_active,48.39701252938929,135.1038492099456,POSITIVE,1.0,1.0
Индустриальный,Дальфарма — работает (08:00-21:00),4,osm_active,48.4068310407827,135.10267919666842,POSITIVE,1.0,1.0
Индустриальный,Ваше здоровье — работает (08:00-21:00),4,osm_active,48.39497123674155,135.1066508333276,POSITIVE,1.0,1.0
Индустриальный,Хирургическое отделение стоматологической поликлиники №18 — работает (Mo-Fr 08:00-14:00),4,osm_active,48.399981126995975,135.10171195019043,POSITIVE,1.0,1.0
Индустриальный,"ННК, АЗС №70 — работает (24/7)",4,osm_active,48.40111186067493,135.09840101680092,POSITIVE,1.0,1.0
Индустриальный,Бочонок — работает (08:00-23:00),4,osm_active,48.402441686603005,135.1053074399744,POSITIVE,1.0,1.0
Индустриальный,Пятачок — работает (09:00-21:00),4,osm_active,48.3965420088592,135.10065085870977,POSITIVE,1.0,1.0
Индустриальный,Вобла — работает (10:00-23:00),4,osm_active,48.397368028544214,135.10021012065326,POSITIVE,1.0,1.0
Индустриальный,Напитки на розлив — работает (08:00-23:00),4,osm_active,48.398261709580176,135.1068485690767,POSITIVE,1.0,1.0
Индустриальный,Торговый центр — работает (09:00-22:00),4,osm_active,48.3952904897432,135.0985551637826,POSITIVE,1.0,1.0
Индустриальный,"Магазин автозапчастей ""Омик"" — работает (Mo-Fr 09:00-13:00,14:00-18:30; Sa 10:00-14:00)",4,osm_active,48.40708616365904,135.1016058238842,POSITIVE,1.0,1.0
Индустриальный,Парикмахерская — работает (Sa-Su 09:00-19:00),4,osm_active,48.39758285488796,135.10339539877594,POSITIVE,1.0,1.0
Индустриальный,Продукты — работает (08:00-22:00),4,osm_active,48.40220778903944,135.10086429696082,POSITIVE,1.0,1.0
Индустриальный,Продукты — работает (08:00-23:00),4,osm_active,48.40367007615764,135.1094154428597,POSITIVE,1.0,1.0
Индустриальный,Велосалон — работает (Mo-Fr 09:00-19:00; Sa-Su 09:00-18:00),4,osm_active,48.39868040728439,135.10208764831748,POSITIVE,1.0,1.0
Индустриальный,Росток — работает (Mo-Fr 11:00-19:00; Sa-Su 10:00-18:00),4,osm_active,48.39694595824563,135.10730801202237,POSITIVE,1.0,1.0
Индустриальный,Сархан — работает (00:00-02:00; 12:00-24:00),4,osm_active,48.40282510066267,135.10140395675006,POSITIVE,1.0,1.0
Индустриальный,DNS — работает (10:00-21:00),4,osm_active,48.40069114363413,135.1028455456124,POSITIVE,1.0,1.0
Индустриальный,ЭНКА-Техника — работает (10:00-20:00),4,osm_active,48.40076957759806,135.10613499461817,POSITIVE,1.0,1.0
Индустриальный,Отдел полиции №3 — работает (24/7),4,osm_active,48.399787225634824,135.10439423419834,POSITIVE,1.0,1.0
Индустриальный,Сбербанк — работает (Mo-Fr 10:00-18:00; Sa 10:00-16:00),4,osm_active,48.39607633652466,135.10468050128603,POSITIVE,1.0,1.0
Индустриальный,Городская поликлиника №11 — работает (Mo-Fr 08:00-20:00; Sa 08:00-14:00),4,osm_active,48.39943586547353,135.10770049278378,POSITIVE,1.0,1.0
Индустриальный,Ichiban Sushi — работает (10:30-23:00),4,osm_active,48.3996847640465,135.10368585409964,POSITIVE,1.0,1.0
Индустриальный,"Cinnabon — работает (Mo-Th 10:00-22:00; Fr,Sa 10:00-23:00; Su 10:00-22:00)",4,osm_active,48.39849742678973,135.10596018999297,POSITIVE,1.0,1.0
