district,text,rating,source,lat,lon
Ворошиловский,Газпром — работает (24/7),4,osm_active,48.69809272580099,44.44256061272606
Ворошиловский,Лукойл — работает (24/7),4,osm_active,48.69260491993433,44.44766095860893
Ворошиловский,"ИП Егиазарян Артур Ваганович ""Солнышко"" — работает (24/7)",4,osm_active,48.70546360072047,44.44468269223168
Ворошиловский,VIRBACauto — работает (Mo-Fr 9:00-20:00; Sa 09:00-18:00; Su 09:00-17:00),4,osm_active,48.699668294192776,44.45017904465943
Ворошиловский,Лукойл — работает (24/7),4,osm_active,48.7032664359373,44.43479365875399
Ворошиловский,Парикмахерская — работает (10:00-19:00),4,osm_active,48.6980677292208,44.448381060219674
Ворошиловский,Магнит — работает (Mo-Su 08:30-21:30),4,osm_active,48.69557900574481,44.4458554535926
Ворошиловский,Алоэ — работает (Mo-Su 09:00-22:00),4,osm_active,48.69599489192826,44.44676724218316
Ворошиловский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.69638262619908,44.45192200272826
Ворошиловский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.6958088433043,44.4445545689784
Ворошиловский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.69622903921264,44.44658694373294
Ворошиловский,Авито — работает (Mo-Su 09:00-21:00),4,osm_active,48.69693660633573,44.447242220489095
Ворошиловский,Блокпост — работает (Mo-Su 09:00-19:00),4,osm_active,48.70463607771189,44.45013083117411
Ворошиловский,Много магазинов (11),5,infra,48.70346289928086,44.446644505148825
Ворошиловский,Транспорт норм (13),4,infra,48.69764664911684,44.44388840877129
Ворошиловский,Парков нет,2,infra,48.699779170178005,44.44587896591933
Ворошиловский,Есть поликлиника,4,infra,48.69596214006647,44.4500021629575
Ворошиловский,Кафе нет,2,infra,48.69908999091728,44.44085665658019
Дзержинский,Лукойл — работает (24/7),4,osm_active,48.75531200811835,44.475979859913565
Дзержинский,Лукойл — работает (24/7),4,osm_active,48.757266870257176,44.47160191669701
Дзержинский,Лукойл — работает (24/7),4,osm_active,48.75307224085074,44.47604212365415
Дзержинский,Есть Научная библиотека ВА МВД (library),4,osm_positive,48.75283090214098,44.46993271043605
Дзержинский,Аптека №39 — работает (24/7),4,osm_active,48.75370151673636,44.47456572908243
Дзержинский,Аптечный пункт — работает (08:00-20:00),4,osm_active,48.75923898590043,44.46674562698105
Дзержинский,Аптечный пункт — доступен,5,osm_access,48.75725259594382,44.47139622908494
Дзержинский,Покупочка — работает (Mo-Su 08:00-22:00),4,osm_active,48.75248828657888,44.47085667649864
Дзержинский,Покупочка — доступен,5,osm_access,48.7562232978085,44.470980621701635
Дзержинский,Продукты — работает (24/7),4,osm_active,48.74991130658654,44.46798355074494
Дзержинский,Волгофарм — доступен,5,osm_access,48.753566050256254,44.468072819290384
Дзержинский,Радеж — работает (24/7),4,osm_active,48.756822139741175,44.46671398162803
Дзержинский,Rusoil — работает (24/7),4,osm_active,48.75394951448724,44.466001912979586
Дзержинский,"Teboil — работает (Mo-Su 00:10-03:45,04:00-23:55)",4,osm_active,48.75576732370137,44.47339398087822
Дзержинский,Радеж — работает (08:00-23:00),4,osm_active,48.757972220372324,44.4685541283248
Дзержинский,"Управляющая компания Энергопром — работает (Mo-We 8:00-12:00, 13:00-17:00;Th 08:00-12:00, 13:00-19:00;Fr 08:00-12:00, 13:00-16:00;Sa[1] 10:00-13:00)",4,osm_active,48.74914311689762,44.47520836001072
Дзержинский,Управляющая компания Энергопром — недоступен,2,osm_access,48.759541264643445,44.46890050039436
Дзержинский,Дом оптики — работает (09:00-19:00),4,osm_active,48.75313022114907,44.47108199240491
Дзержинский,Дом оптики — доступен,5,osm_access,48.75277881489758,44.475140493170116
Дзержинский,Продукты — работает (08:00-22:00),4,osm_active,48.75503641929236,44.47363172092369
Дзержинский,Золотой стандарт — работает (Mo-Su 08:00-20:00),4,osm_active,48.75653950725142,44.472508372509424
Дзержинский,Чай и кофе — доступен,5,osm_access,48.75502764352005,44.471284980864475
Дзержинский,Грузовые запчасти — работает (Mo-Su 08:00-18:00),4,osm_active,48.75474433103602,44.471810408785615
Дзержинский,Медуница — работает (24/7),4,osm_active,48.75528456453989,44.47180177637394
Дзержинский,Медуница — недоступен,2,osm_access,48.75912193686721,44.471490136213106
Дзержинский,Айболит — работает (10:00-20:00),4,osm_active,48.763727972339524,44.47567598164742
Дзержинский,Бунжур — работает (10:00-19:30),4,osm_active,48.755180454299925,44.47777142121366
Дзержинский,FreshStyle — работает (Mo-Su 09:00-20:00),4,osm_active,48.75624198461818,44.472232436871835
Дзержинский,FreshStyle — недоступен,2,osm_access,48.754736208192455,44.469122110069435
Дзержинский,Продукты — работает (08:00-23:00),4,osm_active,48.75572274482259,44.470781293254326
Дзержинский,Чай и кофе — доступен,5,osm_access,48.75606433973191,44.473614362010075
Дзержинский,Золушка — работает (10:00-20:00),4,osm_active,48.75661293597491,44.475220144518346
Дзержинский,Канистра — работает (Mo-Su 09:00-19:00),4,osm_active,48.758159508283484,44.476791633999625
Дзержинский,ТАВС Волга — работает (08:00-12:30; 13:00-19:00),4,osm_active,48.76093088634792,44.47076294035055
Дзержинский,Салон красоты для животных — работает (10:00-20:00),4,osm_active,48.75278154265685,44.468547192190584
Дзержинский,Водный сервис — работает (Mo-Fr 09:00-18:00; Sa Off; Su Off),4,osm_active,48.759803959479356,44.47046406919613
Дзержинский,Ринтек — работает (09:00-19:00),4,osm_active,48.75239599301185,44.46886729447301
Дзержинский,Властёна — работает (Mo-Su 07:00-23:00),4,osm_active,48.75284905662625,44.47227435436901
Дзержинский,Зебра — недоступен,2,osm_access,48.75832845464154,44.471643967230754
Дзержинский,Пивной край — работает (09:00-22:00),4,osm_active,48.75495424714402,44.47762599110929
Дзержинский,Мастер-Крепеж — работает (09:00-20:00),4,osm_active,48.75581995052787,44.46811291818506
Дзержинский,Промтик — работает (Mo-Fr 10:00-19:00; Sa 10:00-17:00),4,osm_active,48.75421612145401,44.47104082052321
Дзержинский,Рем-рест строй — работает (Mo-Su 09:00-19:00),4,osm_active,48.75991225016065,44.469342565844705
Дзержинский,купимебель34 — работает (24/7),4,osm_active,48.752824077436145,44.468646431086135
Дзержинский,"Салон мототехники BRP (квадро-, гидроциклы. снегоходы) — работает (Mo-Sa 10:00-19:00)",4,osm_active,48.76236262604362,44.4659962240155
Дзержинский,Магнит Семейный — работает (Mo-Su 08:30-22:00),4,osm_active,48.75710495077206,44.47253454589137
Дзержинский,Микрос — работает (Mo-Fr 09:00-19:00; Sa 09:00-17:00),4,osm_active,48.75183622045131,44.47148056322094
Дзержинский,KDL — работает (Mo-Fr 07:00-14:00; Sa 07:00-12:00),4,osm_active,48.7537887822298,44.47299312151996
Дзержинский,Вита Экспресс — работает (Mo-Su 08:00-20:00),4,osm_active,48.753298280592624,44.46884847782272
Дзержинский,Вита Экспресс — работает (Mo-Su 08:00-20:00),4,osm_active,48.75588633323384,44.47135399322693
Дзержинский,Belwest — работает (Mo-Su 10:00-20:00),4,osm_active,48.760311138273956,44.474271426186704
Дзержинский,DNS — работает (Mo-Su 10:00-22:00),4,osm_active,48.751835499477735,44.47051037923259
Дзержинский,Еаптека — работает (Mo-Su 08:00-20:00),4,osm_active,48.75163131848507,44.46677004009927
Дзержинский,Быстроденьги — работает (Mo-Fr 09:00-20:00;Sa-Su 09:00-19:00),4,osm_active,48.753548206862014,44.466754237998224
Дзержинский,Q Store — работает (Mo-Su 10:00-22:00),4,osm_active,48.75905872037737,44.47348368870208
Дзержинский,СДЭК — работает (Mo-Fr 10:00-21:00; Sa-Su 10:00-20:00),4,osm_active,48.75883184822976,44.47890742326495
Дзержинский,СДЭК — работает (Mo-Fr 08:00-18:00; Sa-Su 09:00-18:00),4,osm_active,48.75653183349522,44.47248691483075
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.754089850045155,44.46974541185736
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.75585548526421,44.473712541576994
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.755166416104856,44.46842033701731
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.75685129574846,44.47088695548484
Дзержинский,Ozon — работает (Mo-Su 09:00-21:00),4,osm_active,48.75122988136622,44.47140833001107
Дзержинский,"Teboil — работает (Mo-Su 00:10-03:45,04:00-23:55)",4,osm_active,48.747415984396895,44.47296730426048
Дзержинский,M.Видео — работает (Mo-Su 10:00-21:00),4,osm_active,48.759831088356925,44.46792037640884
Дзержинский,МТС — работает (Mo-Su 10:00-21:00),4,osm_active,48.757447023066774,44.47099889166002
Дзержинский,МТС — работает (Mo-Su 09:00-19:00),4,osm_active,48.750191815934826,44.47552698932515
Дзержинский,Билайн — работает (Mo-Su 09:00-19:00),4,osm_active,48.759437726030605,44.47226103807047
Дзержинский,Билайн — работает (Mo-Su 10:00-22:00),4,osm_active,48.75189252160043,44.47306507141047
Дзержинский,"Спортивно-досуговый клуб ""Дзержинец"" — работает (Mo-Fr 11:00-21:00)",4,osm_active,48.75296599131521,44.47096272721714
Дзержинский,Ozon — работает (Mo-Su 10:00-21:00),4,osm_active,48.754197761228774,44.469170790078
Дзержинский,Победа — работает (Mo-Su 08:00-20:00),4,osm_active,48.750159184891174,44.47105515006358
Дзержинский,Boston Technic — работает (Mo-Su 08:00-20:00),4,osm_active,48.75148113761918,44.466866498911116
Дзержинский,Boston Auto — работает (Mo-Su 08:00-20:00),4,osm_active,48.756557685551755,44.47043918375686
Дзержинский,Билайн — работает (Mo-Su 09:00-18:00),4,osm_active,48.75905073698487,44.46744727981714
Дзержинский,Тортуга — работает (Mo-Su 09:00-22:00),4,osm_active,48.75870298694708,44.47051776247014
